frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,qX,qY,qZ,qW,grounded,sleeping,sleepInhibited,sleepCounter,islandRoot,bodyEligible,islandEligible,topologyStable,islandCanSleep,contactRows,maxPenetration,maxSeparationBias,maxClosingSpeed,maxSlipSpeed,maxImpulse,resetReason
25,1,chaos_b,40.6091,100.0000,18.0860,-6.8262,0.0000,14.4735,16.0025,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
25,2,chaos_c,3.4234,100.0000,56.1197,-2.3167,0.0000,-9.3266,9.6100,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
26,0,chaos_a,-52.4496,100.0000,-10.6592,11.6478,0.0000,-11.6420,16.4684,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
26,1,chaos_b,40.5519,100.0000,18.2068,-6.8604,0.0000,14.4925,16.0343,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
26,2,chaos_c,3.4043,100.0000,56.0415,-2.2863,0.0000,-9.3802,9.6548,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
27,0,chaos_a,-52.3524,100.0000,-10.7561,11.6720,0.0000,-11.6277,16.4754,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
27,1,chaos_b,40.4945,100.0000,18.3277,-6.8948,0.0000,14.5115,16.0661,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
27,2,chaos_c,3.3855,100.0000,55.9629,-2.2555,0.0000,-9.4340,9.6999,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
28,0,chaos_a,-52.2549,100.0000,-10.8529,11.6963,0.0000,-11.6134,16.4825,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
28,1,chaos_b,40.4367,100.0000,18.4488,-6.9294,0.0000,14.5305,16.0982,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
28,2,chaos_c,3.3670,100.0000,55.8838,-2.2244,0.0000,-9.4881,9.7453,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
29,0,chaos_a,-52.1572,100.0000,-10.9495,11.7205,0.0000,-11.5990,16.4896,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
29,1,chaos_b,40.3787,100.0000,18.5700,-6.9642,0.0000,14.5496,16.1305,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
29,2,chaos_c,3.3487,100.0000,55.8043,-2.1930,0.0000,-9.5423,9.7910,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
30,0,chaos_a,-52.0594,100.0000,-11.0461,11.7448,0.0000,-11.5845,16.4967,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
30,1,chaos_b,40.3204,100.0000,18.6914,-6.9992,0.0000,14.5688,16.1629,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
30,2,chaos_c,3.3307,100.0000,55.7243,-2.1611,0.0000,-9.5967,9.8370,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
31,0,chaos_a,-51.9613,100.0000,-11.1425,11.7690,0.0000,-11.5700,16.5038,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
31,1,chaos_b,40.2618,100.0000,18.8130,-7.0344,0.0000,14.5880,16.1955,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
